#Strand_gene_id	ChrName	Strand	Gene_start	Gene_end	Symbol	Entrez_id
PVT1-8-1	chr8	+	128902874	129113499	PVT1	5820
LOC100506603-14-1	chr14	-	77248076	77253067	VASH1-AS1	100506603
CABLES1-18-1	chr18	+	20714528	20840434	CABLES1	91768
TTC40-10-1	chr10	-	134621896	134756089	CFAP46	54777
DRD2-11-1	chr11	-	113280317	113346413	DRD2	1813
CSRNP1-3-1	chr3	-	39183342	39196093	CSRNP1	64651
MVK-12-1	chr12	+	110011500	110035071	MVK	4598
PAF1-19-1	chr19	-	39876269	39881835	PAF1	54623
LLPH-12-1	chr12	-	66516849	66524533	LLPH	84298
TFB2M-1-1	chr1	-	246703863	246729565	TFB2M	64216
HSD17B6-12-1	chr12	+	57146237	57181574	HSD17B6	8630
FAT4-4-1	chr4	+	126237003	126414087	FAT4	79633
LINC00634-22-1	chr22	+	42348191	42354946	LINC00634	339674
LRRC73-6-1	chr6	-	43474703	43478081	LRRC73	221424
SGPP1-14-1	chr14	-	64150934	64194756	SGPP1	81537
MIR145-5-1	chr5	+	148810209	148810296	MIR145	406937
SBSN-19-1	chr19	-	36014269	36019253	SBSN	374897
FAM212A-3-1	chr3	+	49840687	49842463	INKA1	389119
GPR75-2-1	chr2	-	54080050	54087170	GPR75	10936
L1TD1-1-1	chr1	+	62660474	62678000	L1TD1	54596
CHTF18-16-1	chr16	+	838622	848074	CHTF18	63922
MIR4642-6-1	chr6	+	44403378	44403459	MIR4642	100616352
OC90-8-1	chr8	-	133036467	133071627	OC90	729330
ZNF417-19-1	chr19	-	58417142	58427978	ZNF417	147687
SETD4-21-1	chr21	-	37406839	37433116	SETD4	54093
VAMP1-12-1	chr12	-	6571403	6579843	VAMP1	6843
ANKRD7-7-1	chr7	+	117864493	117882785	ANKRD7	56311
APOO-23-1	chrX	-	23851465	23926057	APOO	79135
CUZD1-10-1	chr10	-	124591671	124605691	CUZD1	50624
MIR3141-5-1	chr5	-	153975572	153975632	MIR3141	100422950
ADCY10P1-6-1	chr6	+	41068773	41108573	ADCY10P1	221442
SMAD6-15-1	chr15	+	66994674	67074338	SMAD6	4091
RPGRIP1-14-1	chr14	+	21756136	21819460	RPGRIP1	57096
KIFC3-16-1	chr16	-	57792129	57896957	KIFC3	3801
USP51-23-1	chrX	-	55511049	55516301	USP51	158880
STARD3NL-7-1	chr7	+	38217808	38270272	STARD3NL	83930
PIGQ-16-1	chr16	+	619968	634136	PIGQ	9091
KIFC1-6-1	chr6	+	33359301	33377701	KIFC1	3833
PSMD11-17-1	chr17	+	30771481	30810337	PSMD11	5717
AGAP8-10-1	chr10	-	51224681	51246409	AGAP8	728404
ACCSL-11-1	chr11	+	44069531	44081527	ACCSL	390110
GAS2L1-22-1	chr22	+	29702985	29708778	GAS2L1	10634
XYLB-3-1	chr3	+	38388251	38456467	XYLB	9942
PCDHA11-5-1	chr5	+	140247149	140391932	PCDHA11	56138
PLEKHJ1-19-1	chr19	-	2233149	2237703	PLEKHJ1	55111
SLC3A1-2-1	chr2	+	44502597	44547963	SLC3A1	6519
MARCKSL1-1-1	chr1	-	32799430	32801840	MARCKSL1	65108
CASC8-8-1	chr8	-	128455595	128494384	CASC8	727677
KIF25-AS1-6-1	chr6	-	168393502	168397765	KIF25-AS1	100505879
POLR3F-20-1	chr20	+	18448033	18465292	POLR3F	10621
SCARB2-4-1	chr4	-	77079890	77135052	SCARB2	950
SLC22A13-3-1	chr3	+	38307298	38320161	SLC22A13	9390
PPFIBP2-11-1	chr11	+	7534996	7678537	PPFIBP2	8495
LOC100506804-6-1	chr6	+	75994730	76001580	LOC100506804	100506804
EIF4E3-3-1	chr3	-	71728440	71803924	EIF4E3	317649
MIR580-5-1	chr5	-	36147994	36148090	MIR580	693165
PRR23B-3-1	chr3	-	138737873	138739768	PRR23B	389151
ADAM2-8-1	chr8	-	39601254	39695808	ADAM2	2515
MPV17L2-19-1	chr19	+	18303986	18307552	MPV17L2	84769
LBR-1-1	chr1	-	225589204	225616557	LBR	3930
NAIP-5-1	chr5	-	70264310	70320941	NAIP	4671
CPN1-10-1	chr10	-	101802065	101841642	CPN1	1369
C19ORF80-19-1	chr19	+	11350295	11352619	ANGPTL8	55908
TUBG1-17-1	chr17	+	40761358	40767256	TUBG1	7283
SNORD115-31-15-1	chr15	+	25472256	25472337	SNORD115-31	100033805
OR5D16-11-1	chr11	+	55606228	55607214	OR5D16	390144
CXADR-21-1	chr21	+	18885224	18965897	CXADR	1525
BEGAIN-14-1	chr14	-	101003484	101036131	BEGAIN	57596
MIR548H3-6-1	chr6	-	97537843	97862283	MIR548H3	100302287
LINGO4-1-1	chr1	-	151772765	151777882	LINGO4	339398
CECR7-22-1	chr22	+	17517460	17539682	CECR7	100130418
GPR135-14-1	chr14	-	59930240	59932059	GPR135	64582
RSL24D1-15-1	chr15	-	55473512	55489231	RSL24D1	51187
COL10A1-6-1	chr6	-	116440085	116447296	COL10A1	1300
PSMB4-1-1	chr1	+	151372041	151374412	PSMB4	5692
RHBDD3-22-1	chr22	-	29655844	29664147	RHBDD3	25807
PDGFB-22-1	chr22	-	39619685	39640957	PDGFB	5155
INSRR-1-1	chr1	-	156810665	156828712	INSRR	3645
HSPBAP1-3-1	chr3	-	122458844	122512666	HSPBAP1	79663
FBXO27-19-1	chr19	-	39514661	39523198	FBXO27	126433
RNU4ATAC-2-1	chr2	+	122288456	122288585	RNU4ATAC	100151683
UG0898H09-8-1	chr8	+	63890420	63897460	UG0898H09	643763
C21ORF59-21-1	chr21	-	33973977	33985174	CFAP298	56683
SLC6A13-12-1	chr12	-	329787	372039	SLC6A13	6540
ENPP2-8-1	chr8	-	120569317	120685644	ENPP2	5168
MYO6-6-1	chr6	+	76458893	76629254	MYO6	4646
REXO1L1-8-1	chr8	-	86568533	86575726	REXO1L1P	254958
SNORA37-18-1	chr18	-	51748654	51748782	SNORA37	677819
TUBE1-6-1	chr6	-	112391860	112408751	TUBE1	51175
GJA4-1-1	chr1	+	35258559	35261351	GJA4	2701
CASC15-6-1	chr6	+	21666675	22194629	CASC15	401237
MIR3652-12-1	chr12	+	104324203	104324333	MIR3652	100500842
RTKN-2-1	chr2	-	74652988	74669060	RTKN	6242
ACRC-23-1	chrX	+	70797840	70833440	GCNA	93953
SMIM17-19-1	chr19	+	57154527	57168614	SMIM17	147670
SDC1-2-1	chr2	-	20400558	20425194	SDC1	6382
OMP-11-1	chr11	+	76813886	76814377	OMP	4975
AQP5-12-1	chr12	+	50355279	50359465	AQP5	362
CHRNB4-15-1	chr15	-	78916636	78933587	CHRNB4	1143
ZNF750-17-1	chr17	-	80787310	80797931	ZNF750	79755
TMEM218-11-1	chr11	-	124964266	124981659	TMEM218	219854
STEAP3-2-1	chr2	+	119981384	120023228	STEAP3	55240
MIR4443-3-1	chr3	+	48238054	48238106	MIR4443	100616407
NPIPA1-16-1	chr16	+	15027316	15045931	NPIPA1	9284
MIR3065-17-1	chr17	+	79099677	79099755	MIR3065	100422915
ZNF492-19-1	chr19	+	22817126	22850472	ZNF492	57615
ARF1-1-1	chr1	+	228270361	228286913	ARF1	375
HSPE1-2-1	chr2	+	198364721	198368187	HSPE1	3336
IFNA6-9-1	chr9	-	21350317	21350886	IFNA6	3443
ZNF611-19-1	chr19	-	53206066	53238307	ZNF611	81856
FOXD4L1-2-1	chr2	+	114256661	114258727	FOXD4L1	200350
KIAA1161-9-1	chr9	-	34368907	34376894	MYORG	57462
TDRG1-6-1	chr6	+	40346163	40347631	TDRG1	732253
LOC284412-19-1	chr19	-	37756841	37759912	LOC284412	284412
SPTLC3-20-1	chr20	+	12989627	13147411	SPTLC3	55304
LOC100132781-9-1	chr9	+	99631182	99634510	LOC100132781	100132781
KIF1C-17-1	chr17	+	4901243	4931694	KIF1C	10749
C9ORF24-9-1	chr9	-	34379017	34397898	C9orf24	84688
KMT2E-7-1	chr7	+	104654637	104754532	KMT2E	55904
PGC-6-1	chr6	-	41704449	41715139	PGC	5225
KIAA1958-9-1	chr9	+	115249248	115427587	KIAA1958	158405
PXDNL-8-1	chr8	-	52232137	52722005	PXDNL	137902
GPR27-3-1	chr3	+	71803201	71804328	GPR27	2850
MRPL40-22-1	chr22	+	19419302	19423600	MRPL40	64976
MYF6-12-1	chr12	+	81101408	81103257	MYF6	4618
GUCY1B3-4-1	chr4	+	156680126	156728783	GUCY1B1	2983
CCZ1B-7-1	chr7	-	6838566	6865926	CCZ1B	221960
DRAP1-11-1	chr11	+	65686728	65689048	DRAP1	10589
FAHD2B-2-1	chr2	-	97749320	97760603	FAHD2B	151313
ELOVL6-4-1	chr4	-	110970187	111120355	ELOVL6	79071
PUM1-1-1	chr1	-	31404353	31538838	PUM1	9698
TMEM185B-2-1	chr2	-	120975047	120980984	TMEM185B	79134
MIR154-14-1	chr14	+	101526092	101526175	MIR154	406946
C12ORF43-12-1	chr12	-	121440225	121454305	C12orf43	64897
HM13-AS1-20-1	chr20	-	30155510	30161066	HM13-AS1	100874042
FAM196A-10-1	chr10	-	128933690	128994436	FAM196A	642938
RNF32-7-1	chr7	+	156432971	156470377	RNF32	140545
BRK1-3-1	chr3	+	10157333	10168874	BRK1	55845
OR6T1-11-1	chr11	-	123813574	123814545	OR6T1	219874
RGS4-1-1	chr1	+	163038396	163046592	RGS4	5999
ANKRD42-11-1	chr11	+	82904754	82967719	ANKRD42	338699
RIOK2-5-1	chr5	-	96496571	96519005	RIOK2	55781
ZNF141-4-1	chr4	+	331417	370076	ZNF141	7700
H2BFXP-23-1	chrX	+	103230502	103232785	H2BFXP	767811
TSTD1-1-1	chr1	-	161007418	161008887	TSTD1	100131187
TMUB2-17-1	chr17	+	42264300	42269099	TMUB2	79089
FUBP3-9-1	chr9	+	133454954	133513739	FUBP3	8939
UBQLN4-1-1	chr1	-	156002945	156023613	UBQLN4	56893
POP7-7-1	chr7	+	100303676	100305123	POP7	10248
CSRP1-1-1	chr1	-	201452658	201476387	CSRP1	1465
LCORL-4-1	chr4	-	17844839	18023483	LCORL	254251
BPIFB6-20-1	chr20	+	31619454	31631853	BPIFB6	128859
LOC541473-7-1	chr7	-	75021223	75024735	LOC541473	541473
ARHGAP8-22-1	chr22	+	45148438	45258664	ARHGAP8	23779
SRSF1-17-1	chr17	-	56078280	56084707	SRSF1	6426
RPTOR-17-1	chr17	+	78518625	78940173	RPTOR	57521
OR11L1-1-1	chr1	-	248004230	248005198	OR11L1	391189
CDC34-19-1	chr19	+	531720	542087	CDC34	997
GAPDH-12-1	chr12	+	6643585	6647537	GAPDH	2597
OPRM1-6-1	chr6	+	154331631	154568001	OPRM1	4988
TAS2R4-7-1	chr7	+	141478289	141479188	TAS2R4	50832
TRIM49C-11-1	chr11	+	89764274	89775193	TRIM49C	642612
CCL14-17-1	chr17	-	34310692	34313764	CCL14	6358
SNN-16-1	chr16	+	11762289	11773015	SNN	8303
MNX1-AS1-7-1	chr7	+	156803551	156809118	MNX1-AS1	645249
POMT2-14-1	chr14	-	77741299	77787225	POMT2	29954
HOXC-AS2-12-1	chr12	-	54388992	54390569	HOXC-AS2	100874364
UBE2MP1-16-1	chr16	-	34403802	34404762	UBE2MP1	606551
NBPF16-1-1	chr1	+	148577357	148596267	NBPF16	728936
SSB-2-1	chr2	+	170655322	170668574	SSB	6741
C6ORF203-6-1	chr6	+	107349407	107372546	C6orf203	51250
SDR42E1-16-1	chr16	-	82031251	82045093	SDR42E1	93517
SHD-19-1	chr19	+	4278598	4290720	SHD	56961
SLC35B4-7-1	chr7	-	133974089	134001827	SLC35B4	84912
LINC00987-12-1	chr12	+	9392599	9395645	LINC00987	100499405
GDPD3-16-1	chr16	-	30115977	30125264	GDPD3	79153
CNDP1-18-1	chr18	+	72201692	72252261	CNDP1	84735
ADAMTS6-5-1	chr5	-	64444563	64777704	ADAMTS6	11174
PRR23D1-8-1	chr8	+	7397149	7399972	PRR23D1	100131608
DLD-7-1	chr7	+	107531586	107561643	DLD	1738
OR4A15-11-1	chr11	+	55135360	55136394	OR4A15	81328
TRAPPC12-2-1	chr2	+	3383446	3483342	TRAPPC12	51112
TPD52L1-6-1	chr6	+	125474876	125584644	TPD52L1	7164
MIR885-3-1	chr3	-	10436173	10436246	MIR885	100126334
FNTB-14-1	chr14	+	65453507	65529370	FNTB	2342
GPR98-5-1	chr5	+	89854617	90460254	ADGRV1	84059
PFN1P2-1-1	chr1	-	144610815	144612727	PFN1P2	767846
HOXB3-17-1	chr17	-	46626232	46667634	HOXB3	3213
USP17L2-8-1	chr8	-	11994677	11996269	USP17L2	377630
KRR1-12-1	chr12	-	75891419	75905418	KRR1	11103
CCDC86-11-1	chr11	+	60609429	60618561	CCDC86	79080
TTLL3-3-1	chr3	+	9851632	9878040	TTLL3	26140
DCAF4-14-1	chr14	+	73393040	73428825	DCAF4	26094
DONSON-21-1	chr21	-	34937165	34961019	DONSON	29980
CARD14-17-1	chr17	+	78143791	78183130	CARD14	79092
MIR3180-5-16-1	chr16	-	2185978	2186130	MIR3180-5	100500916
SLX4IP-20-1	chr20	+	10415951	10604551	SLX4IP	128710
KLK3-19-1	chr19	+	51358171	51364020	KLK3	354
DACT3-AS1-19-1	chr19	+	47163621	47180713	DACT3-AS1	100506068
PRAMEF23-1-1	chr1	-	13108838	13112680	PRAMEF23	729368
SPINT1-15-1	chr15	+	41136246	41149853	SPINT1	6692
MIR3621-9-1	chr9	-	140063638	140063722	MIR3621	100500811
GSTT1-22-1	chr22	-	24376135	24384284	GSTT1	2952
HLA-DPA1-6-1	chr6	-	33032346	33048555	HLA-DPA1	3113
SLC6A11-3-1	chr3	+	10857917	10980146	SLC6A11	6538
TBC1D23-3-1	chr3	+	99979661	100044096	TBC1D23	55773
GCFC2-2-1	chr2	-	75889831	75938482	GCFC2	6936
IL3RA-23-1	chrX	+	1455488	1501582	IL3RA	3563
SNX16-8-1	chr8	-	82711816	82754539	SNX16	64089
NIN-14-1	chr14	-	51186481	51297839	NIN	51199
EDEM3-1-1	chr1	-	184659625	184724041	EDEM3	80267
CSTF3-AS1-11-1	chr11	+	33183203	33213144	CSTF3-DT	338739
EXOSC4-8-1	chr8	+	145133522	145135551	EXOSC4	54512
C17ORF51-17-1	chr17	-	21343211	21454941	C17orf51	339263
IDH1-2-1	chr2	-	209100951	209120478	IDH1	3417
RPL6-12-1	chr12	-	112842994	112856647	RPL6	6128
PLAGL2-20-1	chr20	-	30780307	30795546	PLAGL2	5326
SDHAF1-19-1	chr19	+	36486090	36487220	SDHAF1	644096
TMSB10-2-1	chr2	+	85132763	85133799	TMSB10	9168
MRPL23-11-1	chr11	+	1968502	2007295	MRPL23	6150
LOC285696-5-1	chr5	-	17118900	17217531	BASP1-AS1	285696
CBX7-22-1	chr22	-	39526777	39548661	CBX7	23492
SEMA5A-5-1	chr5	-	9035138	9546233	SEMA5A	9037
SEPT3-22-1	chr22	+	42372855	42394225	SEPT3	55964
TRIM71-3-1	chr3	+	32859510	32933771	TRIM71	131405
FUNDC1-23-1	chrX	-	44382885	44402221	FUNDC1	139341
PRKCZ-1-1	chr1	+	1981909	2116834	PRKCZ	5590
RFX1-19-1	chr19	-	14072342	14117134	RFX1	5989
ROS1-6-1	chr6	-	117609530	117747018	ROS1	6098
ZNF546-19-1	chr19	+	40502943	40523514	ZNF546	339327
SPANXF1-23-1	chrX	+	140084756	140085871	SPANXF1	171490
LINC00424-13-1	chr13	-	22446935	22452299	LINC00424	100874182
MRPS33-7-1	chr7	-	140705961	140714781	MRPS33	51650
LOC100506100-9-1	chr9	+	131486741	131495522	LOC100506100	100506100
PTTG2-4-1	chr4	+	37962056	37962631	PTTG2	10744
UTP15-5-1	chr5	+	72861566	72879202	UTP15	84135
NCF1C-7-1	chr7	-	74572384	74587802	NCF1C	654817
MIR1305-4-1	chr4	+	183090446	183090531	MIR1305	100302270
C2ORF72-2-1	chr2	+	231902281	231914429	C2orf72	257407
TSKU-11-1	chr11	+	76493357	76509198	TSKU	25987
SNORD25-11-1	chr11	-	62623037	62623103	SNORD25	9303
RPPH1-14-1	chr14	-	20811230	20811570	RPPH1	85495
LRP8-1-1	chr1	-	53708036	53793821	LRP8	7804
ITPRIPL1-2-1	chr2	+	96991062	96994091	ITPRIPL1	150771
FAM95A-2-1	chr2	-	95421071	95426929	FAM95A	90499
ATP8B1-18-1	chr18	-	55313658	55470327	ATP8B1	5205
ZFHX4-AS1-8-1	chr8	-	77523114	77595510	ZFHX4-AS1	100192378
KATNAL2-18-1	chr18	+	44497565	44628614	KATNAL2	83473
FLNB-3-1	chr3	+	57994127	58157982	FLNB	2317
FAM26D-6-1	chr6	+	116850176	116880031	CALHM4	221301
R3HDM1-2-1	chr2	+	136289025	136482840	R3HDM1	23518
ARHGAP23-17-1	chr17	+	36584720	36668628	ARHGAP23	57636
MOG-6-1	chr6	+	29624758	29640149	MOG	4340
DPP10-AS1-2-1	chr2	-	115901625	115918920	DPP10-AS1	389023
MIR483-11-1	chr11	-	2155364	2155439	MIR483	619552
PLCL1-2-1	chr2	+	198669426	199014608	PLCL1	5334
LGALS7-19-1	chr19	-	39261608	39264157	LGALS7	3963
OR2T6-1-1	chr1	+	248550910	248551836	OR2T6	254879
PPP1R2P9-23-1	chrX	-	42636617	42637486	PPP1R2P9	80316
CCDC167-6-1	chr6	-	37450696	37467700	CCDC167	154467
ENDOV-17-1	chr17	+	78388965	78411886	ENDOV	284131
PTPN2-18-1	chr18	-	12785477	12884337	PTPN2	5771
DAPP1-4-1	chr4	+	100737957	100791347	DAPP1	27071
DEFB128-20-1	chr20	-	168527	170264	DEFB128	245939
LINC00359-13-1	chr13	-	97593535	97636426	LINC00359	100887754
FYCO1-3-1	chr3	-	45959391	46037316	FYCO1	79443
WDR59-16-1	chr16	-	74907468	75019026	WDR59	79726
SWAP70-11-1	chr11	+	9685624	9774508	SWAP70	23075
ATP1A1-1-1	chr1	+	116914802	116948069	ATP1A1	476
VPS28-8-1	chr8	-	145648984	145653946	VPS28	51160
TGFBI-5-1	chr5	+	135364584	135399507	TGFBI	7045
C19ORF12-19-1	chr19	-	30189793	30206696	C19orf12	83636
MIR943-4-1	chr4	-	1988111	1988204	MIR943	100126332
MIR5582-11-1	chr11	-	46774675	46774742	MIR5582	100847020
C1ORF123-1-1	chr1	-	53679771	53686289	C1orf123	54987
CXORF31-23-1	chrX	-	46746852	46759139	LINC01545	724087
VARS-6-1	chr6	-	31745295	31763712	VARS	7407
SNORA4-3-1	chr3	+	186505402	186505538	SNORA4	619568
RAE1-20-1	chr20	+	55926145	55953519	RAE1	8480
ZNF786-7-1	chr7	-	148766733	148787869	ZNF786	136051
BRICD5-16-1	chr16	-	2259254	2263541	BRICD5	283870
CEP68-2-1	chr2	+	65283495	65314142	CEP68	23177
IRAK3-12-1	chr12	+	66582978	66648402	IRAK3	11213
BLVRB-19-1	chr19	-	40953691	40971725	BLVRB	645
SPATA4-4-1	chr4	-	177105725	177116822	SPATA4	132851
BBIP1-10-1	chr10	-	112658488	112679124	BBIP1	92482
HERC2-15-1	chr15	-	28356183	28567313	HERC2	8924
OR9G4-11-1	chr11	-	56510304	56511287	OR9G4	283189
PRELP-1-1	chr1	+	203444883	203460480	PRELP	5549
LINC00515-21-1	chr21	-	26955087	26955536	LINC00515	282566
ZNF112-19-1	chr19	-	44830706	44860856	ZNF112	7771
ANP32B-9-1	chr9	+	100745479	100780860	ANP32B	10541
NEDD4L-18-1	chr18	+	55711580	56068772	NEDD4L	23327
LOC100506710-9-1	chr9	+	37079893	37090398	EBLN3P	100506710
LOC150935-2-1	chr2	+	240684554	240722358	LOC150935	150935
CYP2S1-19-1	chr19	+	41699115	41713444	CYP2S1	29785
C10ORF111-10-1	chr10	-	15137384	15139318	C10orf111	221060
MIR519B-19-1	chr19	+	54198467	54198547	MIR519B	574469
C12ORF50-12-1	chr12	-	88373816	88423176	C12orf50	160419
CA10-17-1	chr17	-	49707674	50237377	CA10	56934
IL24-1-1	chr1	+	207070630	207077484	IL24	11009
OR7D4-19-1	chr19	-	9324526	9325547	OR7D4	125958
DIP2A-21-1	chr21	+	47878862	47989926	DIP2A	23181
TCTA-3-1	chr3	+	49449639	49453909	TCTA	6988
ADAP2-17-1	chr17	+	29248698	29286340	ADAP2	55803
KCNH4-17-1	chr17	-	40308910	40333296	KCNH4	23415
PDIA3P1-1-1	chr1	+	146649430	146651528	PDIA3P1	171423
CNTN6-3-1	chr3	+	1134342	1445278	CNTN6	27255
ANKRA2-5-1	chr5	-	72848025	72861521	ANKRA2	57763
MIR3134-9-1	chr9	-	114758832	115112545	MIR3134	100422990
ROPN1L-AS1-5-1	chr5	-	10440847	10441963	ROPN1L-AS1	100505845
SIMC1-5-1	chr5	+	175665370	175772992	SIMC1	375484
MIR1972-1-16-1	chr16	-	15104178	15104254	MIR1972-1	100302243
MIR4466-6-1	chr6	-	157100812	157100865	MIR4466	100616154
D21S2088E-21-1	chr21	-	24733426	24757156	D21S2088E	266917
PAPD5-16-1	chr16	+	50186829	50269221	TENT4B	64282
MIR4665-9-1	chr9	+	6007826	6007904	MIR4665	100616288
ZFP69-1-1	chr1	+	40943043	40962015	ZFP69	339559
SLCO4A1-20-1	chr20	+	61273795	61317137	SLCO4A1	28231
RBMY1J-24-1	chrY	+	24549543	24564028	RBMY1J	378951
KIAA1731-11-1	chr11	+	93394816	93463524	CEP295	85459
SCARA5-8-1	chr8	-	27727399	27850369	SCARA5	286133
MCM3-6-1	chr6	-	52128812	52149679	MCM3	4172
MGLL-3-1	chr3	-	127407905	127542093	MGLL	11343
ZSWIM2-2-1	chr2	-	187692207	187713897	ZSWIM2	151112
UBALD2-17-1	chr17	+	74261286	74267379	UBALD2	283991
EIF4G1-3-1	chr3	+	184032283	184053146	EIF4G1	1981
TTTY17C-24-1	chrY	-	27329790	27330920	TTTY17C	474152
TIMP3-22-1	chr22	+	33196802	33259028	TIMP3	7078
DBI-2-1	chr2	+	120124500	120130127	DBI	1622
SRPX-23-1	chrX	-	38008588	38080177	SRPX	8406
FABP3-1-1	chr1	-	31838100	31845923	FABP3	2170
MIR4729-17-1	chr17	+	57443444	57443515	MIR4729	100616204
SPEG-2-1	chr2	+	220299552	220358354	SPEG	10290
MARCH6-5-1	chr5	+	10353751	10440500	MARCH6	10299
MIR802-21-1	chr21	+	37093013	37093106	MIR802	768219
CHAMP1-13-1	chr13	+	115079965	115092803	CHAMP1	283489
C16ORF97-16-1	chr16	-	52060264	52107847	C16orf97	388276
FAM192A-16-1	chr16	-	57186378	57220387	FAM192A	80011
DDX52-17-1	chr17	-	35972363	36003493	DDX52	11056
CCT8-21-1	chr21	-	30428643	30446118	CCT8	10694
TNFAIP8L3-15-1	chr15	-	51348798	51397473	TNFAIP8L3	388121
HOXC9-12-1	chr12	+	54393877	54397121	HOXC9	3225
MIR4740-17-1	chr17	-	79374516	79374578	MIR4740	100616294
MACC1-7-1	chr7	-	20174278	20257013	MACC1	346389
IGFBP5-2-1	chr2	-	217536828	217560272	IGFBP5	3488
TRIM41-5-1	chr5	+	180650263	180662808	TRIM41	90933
ATXN2L-16-1	chr16	+	28834369	28848558	ATXN2L	11273
HERC5-4-1	chr4	+	89378181	89427334	HERC5	51191
LINC00184-1-1	chr1	+	234765057	234770526	LINC00184	100302691
SFT2D1-6-1	chr6	-	166733516	166755991	SFT2D1	113402
ACVRL1-12-1	chr12	+	52300657	52317145	ACVRL1	94
GAGE2B-23-1	chrX	+	49235708	49242997	GAGE2B	645037
MIR4784-2-1	chr2	-	132248733	132248809	MIR4784	100616378
LMF2-22-1	chr22	-	50941376	50946148	LMF2	91289
STARD3-17-1	chr17	+	37793333	37820454	STARD3	10948
GRIPAP1-23-1	chrX	-	48830130	48858675	GRIPAP1	56850
C8G-9-1	chr9	+	139839333	139841426	C8G	733
CRYGC-2-1	chr2	-	208992861	208994554	CRYGC	1420
TAF9-5-1	chr5	-	68647551	68665840	TAF9	6880
FAM98B-15-1	chr15	+	38746328	38777063	FAM98B	283742
NDUFB11-23-1	chrX	-	47001615	47004609	NDUFB11	54539
TGM5-15-1	chr15	-	43524793	43559055	TGM5	9333
GYG2-23-1	chrX	+	2746863	2800861	GYG2	8908
PTGES2-AS1-9-1	chr9	+	130890808	130892913	PTGES2-AS1	389791
OR8K3-11-1	chr11	+	56085783	56086721	OR8K3	219473
E2F7-12-1	chr12	-	77415026	77459360	E2F7	144455
CPA3-3-1	chr3	+	148583043	148614874	CPA3	1359
TXLNA-1-1	chr1	+	32645293	32663886	TXLNA	200081
ZNF550-19-1	chr19	-	58053204	58071231	ZNF550	162972
COX6C-8-1	chr8	-	100890223	100906242	COX6C	1345
SREBF1-17-1	chr17	-	17714663	17740331	SREBF1	6720
MIR449A-5-1	chr5	-	54466360	54466450	MIR449A	554213
FAM13C-10-1	chr10	-	61005889	61122661	FAM13C	220965
PPARGC1A-4-1	chr4	-	23793644	24474394	PPARGC1A	10891
RMRP-9-1	chr9	-	35657748	35658015	RMRP	6023
CEBPE-14-1	chr14	-	23586515	23588820	CEBPE	1053
REXO1-19-1	chr19	-	1815245	1848520	REXO1	57455
MFAP5-12-1	chr12	-	8798540	8815433	MFAP5	8076
CCDC15-11-1	chr11	+	124824017	124911385	CCDC15	80071
C14ORF1-14-1	chr14	-	76117233	76127538	ERG28	11161
MOV10L1-22-1	chr22	+	50528435	50600119	MOV10L1	54456
USP3-15-1	chr15	+	63796710	63886839	USP3	9960
LRRN3-7-1	chr7	+	110731062	110765510	LRRN3	54674
EPB41-1-1	chr1	+	29213603	29446558	EPB41	2035
RILP-17-1	chr17	-	1549444	1553392	RILP	83547
